ClinicName,PayPeriod,StipendCap,NegativeEarningsCap,NegativeEarningsUtilized
CO-RachelB,22,0,0,0
KY-Traci,22,0,0,0
NC-Samuel,22,0,0,0
TX-Setareh,22,0,0,0
a-kinder-approach-aba-ll,22,0,0,0
a-merciful-approach-aba,22,0,0,0
abaco,22,27167.83368,18632.07623,0
affinity-abc,22,16056.06798,7993.462551,257.25
al-kp,22,12834.00464,5904.55778,1443.45
anmaba,22,0,0,0
arrow,22,1538.448683,666.2965019,0
aurora-behavior-health,22,1190.255737,811.779766,158.5
behaveability,22,4459.29896,2146.406249,0
behavior-in-context-llc,22,0,0,0
behavioral-bridges-llc,22,346.21426,58.40906,0
beyond-behavior,22,5916.349521,3043.41398,426.15
bloom-behavior,22,459.443455,105.8386,0
blossom-aba-therapy,22,21207.85206,11292.73497,0
bridging-voices,22,0,0,0
c4behaviorllc,22,0,0,52.48
chockstone,22,777.664985,17.4911194,0
cl-autism-center,22,5193.518937,3410.771685,3.5
climb-and-thrive-aba-,22,69.03344,0,0
co-wi,22,9100.418184,4341.745684,0
committed-to-kids-aba,22,31.910985,0,0
common-ground,22,10063.55002,6295.514692,0
constellationspectrumaba,22,0,0,0
cove-aba,22,0,0,0
creative-edge-consulting,22,0,0,0
creative-waves-aba,22,813.0822293,311.8733733,22.5
crescent-behavioral,22,3.049095,0,0
ct-arc-light,22,2633.432685,893.1839601,1350.63
elemental-aba,22,0,0,0
elevate-behavioral-healt,22,0,0,0
empoweraba,22,6121.909895,3824.47338,0
ep-behavioral-health,22,0,0,0
exceptional-aba-therapie,22,10696.44536,5672.979381,0
expansion-behavior-suppo,22,0.75736,0,0
expeditions-aba,22,770.5268839,502.4934743,0
faast-aba,22,224.8515421,81.09048376,0
finni-northern-new-mexic,22,2616.306267,759.8289333,0
fox--fern-behavioral-sol,22,430.7397295,255.5686889,0
ga-ga,22,12441.50341,7145.893576,0
goemaere-consulting-llc,22,239.8015296,101.0385612,0
grow-with-purpose-aba,22,0,0,0
guided-steps-autism-serv,22,0,0,0
halona-aba,22,654.7596879,314.7667427,0
healthyhorizons,22,0,0,0
i-see-you,22,0,0,0
il-brooke,22,319.8670167,29.07041582,0
il-ha,22,5798.129537,3063.235334,0
inclusive-health,22,1497.771998,685.0406307,0
inspire-aba,22,4174.115936,812.1939413,243.97
inspire-ky,22,11086.96078,2045.77052,13382.93
jaybird-aba,22,410.9620354,68.519328,0
joyful-holistic,22,0,0,0
kapwa-behavior-services,22,0,0,0
little-teddy-bears-aba-s,22,18693.84031,8134.301387,0
luce-therapies,22,0,0,0
lumen-behavioral-service,22,0,0,0
main-line-aba-consultant,22,0,0,0
measuring-milestones,22,0,0,0
mi-lexie,22,15264.9543,7787.768443,0
mosaic-aba,22,0,0,0
neurorevolution,22,304.1239466,0,237.12
nh-ally,22,1903.025204,1083.095459,0
nlbc,22,3066.997908,1519.592586,0
nm-lc,22,136069.459,77050.80371,29500.8
ny-wc,22,2733.943687,1170.834864,46562.05
oak-soul-aba,22,0,0,0
odyssey-aba-llc,22,3985.40299,2381.025742,0
ohio-kc-aba,22,0,0,0
open-doors-aba,22,9434.837767,4841.250329,0
open-roads-aba-,22,0,0,0
parsimonybx,22,0.53064,0,0
peak-behavior-solutions,22,0,0,0
peak-era-aba-wellness-ll,22,280.9048636,96.2157467,0
pivot-aba,22,4963.313937,1827.049689,2528.12
pivotalpathways,22,0,0,0
reachforthesky,22,0,0,0
ri-spenser,22,0,0,0
river-rock,22,3966.052534,2439.308777,946.8
roadmap-aba-inc,22,0,0,0
roots-aba-services,22,6454.145439,3291.270907,0
santana-institute,22,0,0,0
sense-sational,22,4324.603932,1550.392807,0
sentinel-neurobx,22,0,0,0
small-steps,22,7314.046147,3110.061307,1220.66
sound-behavior-services,22,0,0,0
spark-joy,22,9076.335895,4058.484419,0
ssa-aba,22,2051.055085,1166.378241,133.42
stephanie-bs-practice-ga,22,1519.673712,786.2199631,0
tala-horizon-solutions,22,0,0,0
teachdbb,22,0,0,0
the-behavior-architects,22,0,0,0
the-social-collective-th,22,0,0,0
thrive-consulting,22,223.8686952,93.76270429,0
tn-kb-bh,22,13065.64886,4683.607193,0
va-elizabeth,22,12820.21155,7764.31558,0
well-aba,22,247.5115354,0,0
windwatch-behavioral-ser,22,15.61858667,0,0
